연도,분기,지역,평균,중앙값,분산
2021,4,경남,70.14345996876102,72.0,466.4722578560189
2022,1,경남,54.29739217652959,53.0,479.4446243314268
2022,2,경남,68.06860171380454,72.0,505.29022285314244
2022,3,경남,82.46823691223244,86.0,209.37378846584176
2022,4,경남,65.94996751864878,67.0,478.56264496259894
2023,1,경남,60.258650509252455,61.0,569.8100293651262
2023,2,경남,74.17632945028086,79.0,469.30467391787676
2023,3,경남,86.36495130268113,91.0,180.38122340659027
2023,4,경남,69.212085951439,70.0,459.8991211829133
2018,1,경북,57.92067517682532,57.0,574.550567134622
2018,2,경북,69.53843642892117,73.0,540.4228932259547
2018,3,경북,81.1803536086555,86.0,283.11092304322904
2018,4,경북,70.31448153116658,74.0,573.5522928061121
2019,1,경북,57.245364838558096,56.0,562.9385601231206
2019,2,경북,65.81222834729142,69.0,626.2906759031728
2019,3,경북,83.59284215316933,88.0,228.12512695449016
2019,4,경북,72.72906677185154,76.0,470.98741325401596
2020,1,경북,65.53426862680298,66.0,533.2383807754541
2020,2,경북,66.43567039344542,68.0,571.9104293217312
2020,3,경북,84.95627044364699,90.0,207.44577258699118
2020,4,경북,64.21457989315202,64.0,522.0975309675702
2021,1,경북,60.037728930659824,60.0,551.5148888855974
2021,2,경북,69.41430293982545,73.0,529.5706644607505
2021,3,경북,84.45547586282319,89.0,207.56347836727693
2021,4,경북,70.57163229774538,73.0,516.4042263255894
2022,1,경북,54.982173318924325,54.0,528.7432829425412
2022,2,경북,62.882097148351015,65.0,565.7534222963519
2022,3,경북,82.5430192605286,87.0,242.34913247065498
2022,4,경북,68.12711158307467,70.0,509.8338412881642
2023,1,경북,58.56690263432749,59.0,568.9486271114032
2023,2,경북,69.22665955963754,73.0,551.6645766070624
2023,3,경북,85.03604226486306,90.0,204.66535405427447
2023,4,경북,68.63401117926,69.0,512.7759605896138
2018,1,전북,72.65191282170183,76.0,444.3440647172948
2018,2,전북,77.70906905796431,84.0,439.5667774817218
2018,3,전북,82.67451737451738,88.0,265.77806692166996
2018,4,전북,76.23818620093692,81.0,415.58973091968676
2019,1,전북,70.23913144341854,72.0,446.0324563990544
2019,2,전북,74.75815989731365,81.0,512.2769694243601
2019,3,전북,86.7106062285271,92.0,193.09424291616017
2019,4,전북,76.96553608368136,79.0,332.44560287121215
2020,1,전북,74.30091174648136,77.0,410.505778681486
2020,2,전북,75.81903011452,82.0,463.59173017289083
2020,3,전북,87.00593616872686,92.0,170.10859854565925
2020,4,전북,71.64661540273595,73.0,383.1570960236961
2021,1,전북,71.70109497820341,74.0,413.580370207507
2021,2,전북,72.10465136039971,76.0,471.5351884185218
2021,3,전북,82.82845501803025,87.0,210.72096993651277
2021,4,전북,75.72259151067128,78.0,343.5255621996888
2022,1,전북,66.87082728592162,68.0,396.6074912012115
2022,2,전북,70.05689888032066,74.0,470.67918136145266
2022,3,전북,82.01856929743553,85.0,210.0252149626087
2022,4,전북,73.319893463293,76.0,384.24876114753624
2023,1,전북,66.82457212713936,69.0,463.0992911239909
2023,2,전북,73.60441859132328,79.0,457.36107167141546
2023,3,전북,85.10888952002271,90.0,185.74039726722148
2023,4,전북,75.98007537509777,79.0,320.65630010524944
2018,1,전남,71.22639034911826,73.0,413.43174056772136
2018,2,전남,78.41696972305309,84.0,386.8230248797925
2018,3,전남,82.39246613274261,85.0,224.17711518762766
2018,4,전남,72.84991292642016,73.0,382.2617745762767
2019,1,전남,66.82560080463952,67.0,391.2492212195428
2019,2,전남,75.24109731469818,80.0,441.7101094442263
2019,3,전남,86.76578747263017,91.0,167.78436819057632
2019,4,전남,74.58423951544347,75.0,314.92646248894937
2020,1,전남,72.0178327064919,73.0,372.57159007343273
2020,2,전남,76.28777103058758,82.0,450.188155082069
2020,3,전남,88.06050251425872,92.0,160.10333130675266
2020,4,전남,69.78176447907346,69.0,371.79312195061146
2021,1,전남,72.07044683674974,74.0,382.70163436481386
2021,2,전남,73.11228149465673,76.0,433.76919200281225
2021,3,전남,84.31871359073412,87.0,165.6903283455515
2021,4,전남,73.20514085101136,73.0,327.27788217509527
2022,1,전남,64.90734176544248,65.0,374.82753047498653
2022,2,전남,71.85342552101801,76.0,434.0512617970524
2022,3,전남,82.78588188016904,85.0,184.00752907262228
2022,4,전남,70.35677967657263,71.0,361.1024059587813
2023,1,전남,66.8875477945037,67.0,430.7016480795537
2023,2,전남,77.05118983432996,82.0,392.42945384268717
2023,3,전남,86.2060957289593,90.0,158.29336546654628
2023,4,전남,74.65875349065578,76.0,316.19096906007314
2018,1,제주,71.88534426331702,74.0,391.2247717251652
2018,2,제주,78.6732102865086,85.0,430.61905015510234
2018,3,제주,84.59428121477868,87.0,171.5081602297732
2018,4,제주,71.38298186108244,72.0,343.31351238136074
2019,1,제주,67.29915283059704,68.0,390.0238400490858
2019,2,제주,71.43514252481155,76.0,517.6707647425947
2019,3,제주,86.70095731892769,90.0,149.39668288852675
2019,4,제주,72.89086859688196,74.0,324.93782104642247
2020,1,제주,71.63743568992427,73.0,380.82398997888316
2020,2,제주,74.69286011806443,79.0,461.97009739399454
2020,3,제주,86.85439023027051,90.0,161.92222114367866
2020,4,제주,69.29018656819247,70.0,376.8027871367294
2021,1,제주,70.6754536987384,72.0,422.65895322058094
2021,2,제주,73.44162903495568,78.0,487.1748580762735
2021,3,제주,87.06464978625452,90.0,139.41428031017256
2021,4,제주,72.02168099212618,73.0,329.5056623797234
2022,1,제주,69.45719724960234,70.0,391.07640679843337
2022,2,제주,74.33702665144672,79.0,469.61007934818224
2022,3,제주,83.26776385512125,86.0,213.5642050701638
2022,4,제주,72.00864272221057,73.0,342.81798140673715
2023,1,제주,70.40025326073193,71.0,419.76609549234234
2023,2,제주,77.60948495283725,83.0,452.907236322493
2023,3,제주,86.91605830353596,89.0,139.6051236009362
2023,4,제주,73.39146615571687,74.0,330.5969734534366
