연도,분기,서울,경기,강원,충북,충남,전북,전남,경북,경남,제주,총합
2018년,1~4,5,196,34,51,19,24,15,98,12,0,454
2019년,1~4,10,70,25,38,9,32,25,89,10,9,317
2020년,1~4,0,25,55,48,23,6,17,83,27,21,305
2021년,1~4,0,137,22,89,3,7,14,62,35,0,369
2022년,1~4,24,195,110,89,132,127,200,281,200,67,1425
2023년,1~4,0,17,23,31,61,4,7,196,18,8,365
