연도,분기,지역,습도_평균,습도_중앙값,습도_분산,기온_평균,기온_분산,강수량_평균,강수량_분산,질병건수,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2018,1,강원,59.556017838012906,59.0,553.5897254656664,0.0333333333333335,24.11555555555556,33.233333333333334,491.7088888888888,0.0,0.0037222222222222,0.0187777777777777,0.0283333333333333,0.5944444444444444,42.888888888888886,29.38888888888889,1.867283950617284e-06,2.4728395061728395e-05,6.0777777777777775e-05,0.0283024691358024,83.09876543209876,42.348765432098766
2018,2,강원,71.50019699581384,77.0,553.6766245743796,16.566666666666666,14.762222222222183,129.36666666666665,1538.9955555555546,9.0,0.002,0.0126666666666666,0.0441666666666666,0.35,42.888888888888886,22.944444444444443,3.333333333333333e-07,8.555555555555556e-06,8.80555555555556e-06,0.0047222222222222,73.98765432098764,17.608024691358022
2018,3,강원,83.36527179653855,90.0,253.1789449143034,23.066666666666663,10.442222222222174,238.4333333333333,10026.468888888892,19.0,0.0018333333333333,0.0099444444444444,0.0271666666666666,0.2777777777777778,24.72222222222222,14.166666666666666,3.611111111111111e-07,1.0608024691358024e-05,8.472222222222223e-06,0.0039506172839506,25.20061728395062,15.25
2018,4,강원,69.43394520156748,74.0,598.1142261420538,5.333333333333333,26.19555555555557,82.33333333333333,3479.5755555555547,,0.00265,0.0174,0.02,0.465,35.75,19.9,6.274999999999999e-07,3.344e-05,4.0100000000000006e-05,0.021275,103.0875,35.58999999999999
2019,1,강원,58.90981202296096,59.0,589.6729333789503,1.5666666666666669,10.34888888888889,23.1,228.1866666666668,0.0,0.0031458333333333,0.0145833333333333,0.03025,0.548936170212766,53.895833333333336,32.75,1.957899305555556e-06,2.9659722222222224e-05,0.0001079791666666,0.0276052512449071,108.05164930555556,61.22916666666666
2019,2,강원,66.06341618125981,70.0,659.0640673475,16.333333333333332,17.615555555555552,59.833333333333336,1303.5022222222226,13.0,0.0022407407407407,0.009,0.0470555555555555,0.3999999999999999,37.0,18.814814814814813,6.642661179698217e-07,1.1703703703703705e-05,5.8459876543209866e-05,0.007037037037037,59.14814814814815,12.224965706447188
2019,3,강원,85.10332178984781,92.0,218.21169779418355,22.933333333333334,4.40888888888889,194.33333333333331,35.068888888888885,12.0,0.0019444444444444,0.0065185185185185,0.0289629629629629,0.3592592592592593,23.98148148148148,12.48148148148148,3.8580246913580266e-07,6.768175582990397e-06,3.0257887517146776e-05,0.0053772290809327,14.610768175582992,10.175582990397809
2019,4,강원,73.66776291146637,79.0,496.4571496225091,7.233333333333333,28.802222222222227,87.63333333333333,4538.095555555556,,0.0026226415094339,0.0126226415094339,0.0216226415094339,0.4603773584905659,32.716981132075475,18.69811320754717,8.387326450694199e-07,2.7933072267710925e-05,3.842363830544678e-05,0.0137130651477394,48.27839088643646,51.26735493058028
2020,1,강원,67.64263463343859,70.0,539.256861250659,2.966666666666667,6.40888888888889,55.833333333333336,548.5488888888891,0.0,0.0027037037037037,0.012074074074074,0.0288333333333333,0.487037037037037,34.907407407407405,22.64814814814815,7.270233196159121e-07,1.9105624142661176e-05,5.5768518518518506e-05,0.0089060356652949,45.89883401920439,36.33916323731138
2020,2,강원,69.45325734188238,73.0,565.4067812284236,16.23333333333333,27.41555555555558,92.4,1597.0066666666664,45.0,0.0023888888888888,0.0076851851851851,0.0427962962962963,0.3629629629629629,34.44444444444444,17.166666666666668,4.969135802469137e-07,6.734224965706447e-06,2.968072702331961e-05,0.0049245541838134,33.32098765432099,12.138888888888893
2020,3,강원,86.34665126860116,93.0,194.4345141268133,21.86666666666667,6.828888888888691,361.4333333333334,10937.05555555553,9.0,0.0022222222222222,0.0059444444444444,0.0263518518518518,0.3814814814814814,17.64814814814815,9.62962962962963,8.024691358024692e-07,6.126543209876542e-06,2.222805212620028e-05,0.0063237311385459,14.19101508916324,4.640603566529492
2020,4,강원,65.73010116814065,68.0,565.5424010597942,5.8,30.64666666666668,15.366666666666667,272.32888888888897,,0.002537037037037,0.0119814814814814,0.0244259259259259,0.4462962962962962,30.925925925925927,17.943396226415093,5.449245541838133e-07,2.046262002743484e-05,4.202229080932783e-05,0.011375171467764,46.47599451303155,34.09113563545746
2021,1,강원,61.85692587888197,63.0,598.3388202306212,1.9,19.086666666666662,38.8,1951.386666666667,0.0,0.0027407407407407,0.0116851851851851,0.0303333333333333,0.4925925925925925,41.18518518518518,18.814814814814813,7.475994513031552e-07,1.3549039780521262e-05,4.825925925925927e-05,0.0062414266117969,78.74348422496568,20.55829903978052
2021,2,강원,71.80593144481887,77.0,549.9493579134624,16.0,12.739999999999984,113.6,1144.8200000000006,23.0,0.0021481481481481,0.0069259259259259,0.0393518518518518,0.3777777777777777,35.67307692307692,14.055555555555555,6.817558299039782e-07,6.216735253772292e-06,2.2561385459533605e-05,0.0035802469135802,105.64312130177515,6.496913580246911
2021,3,강원,85.57189808514775,92.0,205.48264099438225,22.899999999999995,5.040000000000004,175.9333333333333,2597.1355555555524,0.0,0.0021111111111111,0.0055,0.0280185185185185,0.3759259259259259,16.22,8.185185185185185,4.32098765432099e-07,4.138888888888889e-06,1.2018175582990404e-05,0.0092352537722908,12.171600000000002,7.076817558299041
2021,4,강원,71.8641101023372,75.0,508.4145164112272,6.833333333333333,30.82888888888889,48.333333333333336,984.5355555555552,,0.0024074074074074,0.0108518518518518,0.0252777777777777,0.4203703703703703,26.607843137254903,14.807692307692308,3.155006858710562e-07,1.69039780521262e-05,3.9200617283950616e-05,0.0068072702331961,68.70895809304115,30.924556213017745
2022,1,강원,61.09603428248139,62.0,559.6048804498924,0.4666666666666668,16.602222222222224,32.5,1580.0266666666669,5.0,0.0024074074074074,0.0122407407407407,0.0327962962962962,0.4537037037037038,34.27777777777778,20.90740740740741,3.895747599451303e-07,1.90346364883402e-05,5.9717764060356655e-05,0.0095233196159122,42.42283950617284,26.34327846364884
2022,2,강원,66.20897724163365,69.0,610.2246239823626,17.266666666666666,10.935555555555563,105.36666666666667,13217.708888888888,82.0,0.002,0.0073148148148148,0.0478888888888889,0.3185185185185186,27.75925925925926,13.5,1.851851851851852e-07,4.660150891632372e-06,4.180246913580247e-05,0.0070644718792866,53.10871056241427,8.98076923076923
2022,3,강원,85.60578659709844,92.0,220.0510106939365,22.73333333333333,5.662222222222328,271.56666666666666,8857.388888888901,22.0,0.0018518518518518,0.0057407407407407,0.0271481481481481,0.312962962962963,15.88888888888889,7.833333333333333,1.262002743484225e-07,3.858710562414266e-06,9.126200274348424e-06,0.0107578875171467,9.209876543209877,3.324074074074074
2022,4,강원,69.75765072112966,74.0,566.3682061728725,5.633333333333333,45.428888888888906,79.16666666666667,4901.775555555553,,0.0022037037037037,0.0109814814814814,0.0240185185185185,0.3925925925925926,25.444444444444443,14.351851851851851,3.1035665294924564e-07,2.30181755829904e-05,2.67218792866941e-05,0.0114266117969821,75.87654320987654,35.413237311385465
2018,1,경기,62.10539658101508,62.0,486.49023858553767,-0.1666666666666666,28.015555555555554,32.766666666666666,481.84222222222223,75.0,0.0049462365591397,0.0291827956989247,0.0211505376344086,0.5806451612903226,56.774193548387096,35.946236559139784,1.2121632558677304e-06,6.247196207654065e-05,5.292357497976646e-05,0.0101630246271245,27.57266736038849,16.416464331136545
2018,2,경기,70.88437652457114,74.0,475.4429205926157,17.166666666666668,17.00222222222217,156.96666666666667,1339.8755555555592,2.0,0.0035376344086021,0.0198387096774193,0.0368172043010752,0.3967741935483869,46.24731182795699,24.365591397849464,9.58261070644005e-07,5.419979188345475e-05,2.746120938836859e-05,0.0059035726673603,92.44421320383856,14.984622499710948
2018,3,경기,77.07495688675588,81.0,315.8534092234961,24.7,11.126666666666702,183.0,7013.8866666666645,118.0,0.0030645161290322,0.0140645161290322,0.0272473118279569,0.3483870967741934,24.236559139784948,12.397849462365592,5.549774540409296e-07,2.664099895941727e-05,1.2960342236096656e-05,0.0055081512313562,25.169846224997112,8.454619031101863
2018,4,경기,68.50629322903679,71.0,507.012878417638,5.233333333333333,29.068888888888903,66.13333333333334,1460.1622222222222,,0.0035698924731182,0.0289139784946236,0.0145268817204301,0.556989247311828,48.24731182795699,27.591397849462364,6.32211816394959e-07,8.293883685975255e-05,1.4915944039773383e-05,0.0129887848306162,173.4979766446988,64.13411955139323
2019,1,경기,60.782457786116325,61.0,528.2283820105072,1.1666666666666667,12.162222222222224,21.6,226.10666666666668,7.0,0.0043333333333333,0.0303440860215053,0.0210645161290322,0.646236559139785,68.70967741935483,42.204301075268816,6.953405017921146e-07,6.775257255174008e-05,6.178078390565384e-05,0.0097976644698809,75.25979882067291,32.91525031795584
2019,2,경기,65.62679666032551,68.0,547.8285620669026,17.0,19.22000000000005,46.56666666666666,249.3888888888897,63.0,0.0037204301075268,0.0196666666666666,0.0415806451612903,0.4344086021505375,43.30107526881721,21.83870967741936,1.0401202451150422e-06,4.828673835125448e-05,5.789941033645509e-05,0.0048375534743901,133.6512891663776,27.55463059313216
2019,3,경기,79.94712368805634,85.0,291.3143997167288,24.03333333333333,4.408888888888885,212.5666666666667,2171.5355555555498,1.0,0.0029139784946236,0.0146236559139784,0.0308279569892473,0.3978494623655912,26.967741935483872,14.554347826086955,6.162562145912822e-07,2.6170193085905885e-05,2.9088680772343625e-05,0.0077373106717539,22.955948664585502,14.834002835538756
2019,4,경기,72.90345875114241,76.0,412.6558960512005,7.033333333333332,34.99555555555555,52.833333333333336,486.3022222222223,,0.0033655913978494,0.0258817204301075,0.0159354838709677,0.5236559139784945,42.68817204301075,23.301075268817204,7.050526072378308e-07,6.70505260723783e-05,2.257648283038502e-05,0.0119135160134119,48.666204185454966,47.97386981153889
2020,1,경기,66.37739586226887,68.0,490.6153425698185,3.0666666666666664,7.548888888888892,47.8,495.0599999999997,0.0,0.0033333333333333,0.0253655913978494,0.0222473118279569,0.5376344086021506,45.94623655913978,28.161290322580644,5.878136200716846e-07,4.965128916637761e-05,4.339044976297839e-05,0.0118094577407792,21.4057116429645,17.59764134582032
2020,2,경기,68.75199198318424,72.0,562.1607406517008,16.866666666666667,26.975555555555577,82.13333333333333,1955.162222222223,16.0,0.0029354838709677,0.0153118279569892,0.0419032258064516,0.4053763440860213,41.193548387096776,19.6989247311828,6.625043357613597e-07,2.0279107411261417e-05,2.675407561567811e-05,0.003304428257602,33.51092611862644,9.801826800786218
2020,3,경기,83.03753417264076,88.0,258.8801207136354,22.96666666666667,5.828888888888792,374.9,45722.32666666666,4.0,0.0026666666666666,0.0115698924731182,0.0277419354838709,0.372043010752688,22.193548387096776,11.956989247311828,5.017921146953403e-07,1.3728986009943344e-05,2.036351023239681e-05,0.0037345357844837,9.274366978841485,5.804601688056424
2020,4,경기,67.52816972896153,69.0,491.3906884548835,5.733333333333333,33.982222222222234,23.566666666666663,612.5755555555555,,0.0034516129032258,0.0246774193548387,0.0178709677419354,0.5172043010752688,42.483870967741936,23.9247311827957,4.842178286507112e-07,4.082067291016303e-05,1.357474852584114e-05,0.0057255174008555,32.52930974679154,29.63949589547925
2021,1,경기,64.22943320778342,64.0,516.3604771088152,1.9333333333333336,22.48222222222222,44.6,1912.0066666666664,0.0,0.0034086021505376,0.0244516129032258,0.0234946236559139,0.5258064516129032,54.26881720430107,28.18279569892473,5.857324546190312e-07,3.1903572667360394e-05,3.422846571858018e-05,0.0042802636142906,175.65892010637066,31.4612093883686
2021,2,경기,70.53260976197059,74.0,505.6187304902018,17.033333333333335,12.762222222222237,119.43333333333332,2909.9022222222266,0.0,0.0028387096774193,0.0151935483870967,0.0406344086021505,0.393548387096774,48.12903225806452,19.591397849462364,6.729101630246273e-07,2.2134582032604928e-05,1.0016880564227077e-05,0.0040443981963232,158.95109261186263,11.402936755694302
