연도,분기,지역,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2018,1,서울,0.005333333333333333,0.034,0.01933333333333333,0.6,52.333333333333336,32.0,2.2222222222222224e-07,6.666666666666679e-07,2.4888888888888882e-05,0.0,0.22222222222222224,2.6666666666666665
2018,1,경기,0.0049462365591397845,0.029182795698924735,0.021150537634408603,0.5806451612903226,56.774193548387096,35.946236559139784,1.2121632558677304e-06,6.247196207654065e-05,5.292357497976646e-05,0.01016302462712452,27.572667360388486,16.416464331136545
2018,1,강원,0.0037222222222222223,0.01877777777777778,0.028333333333333335,0.5944444444444444,42.888888888888886,29.38888888888889,1.8672839506172838e-06,2.4728395061728395e-05,6.0777777777777775e-05,0.028302469135802463,83.09876543209876,42.348765432098766
2018,1,충북,0.004666666666666668,0.02388888888888889,0.023833333333333335,0.7333333333333334,50.333333333333336,34.111111111111114,1.5555555555555558e-06,2.554320987654321e-05,5.247222222222223e-05,0.026666666666666675,16.77777777777778,18.09876543209877
2018,1,충남,0.003951219512195122,0.018,0.025878048780487804,0.5,48.48780487804878,27.634146341463413,1.0707911957168352e-06,2.697560975609756e-05,6.522903033908387e-05,0.014146341463414631,28.24985127900059,26.768590124925637
2018,1,전북,0.003678571428571429,0.01685714285714286,0.03192857142857143,0.5928571428571427,58.357142857142854,31.678571428571427,1.0752551020408165e-06,7.4081632653061225e-06,5.178061224489796e-05,0.012806122448979588,62.15816326530613,13.932397959183673
2018,1,전남,0.004291666666666667,0.014833333333333332,0.029666666666666664,0.4708333333333334,40.916666666666664,26.416666666666668,1.9565972222222224e-06,1.0555555555555555e-05,2.5222222222222218e-05,0.015399305555555553,12.493055555555557,10.909722222222223
2018,1,경북,0.004962962962962963,0.01740740740740741,0.027888888888888894,0.5925925925925926,48.81481481481482,31.791666666666668,2.7023319615912207e-06,2.0389574759945127e-05,4.720987654320989e-05,0.022167352537722906,48.59533607681756,25.664930555555557
2018,1,경남,0.004076923076923077,0.019307692307692307,0.028296296296296295,0.49230769230769234,43.34615384615385,23.76923076923077,7.633136094674557e-07,1.4213017751479292e-05,5.635665294924554e-05,0.006094674556213016,24.457100591715985,5.792899408284024
2018,1,제주,0.0023333333333333335,0.011500000000000002,0.03783333333333334,0.35000000000000003,39.166666666666664,21.833333333333332,5.555555555555555e-07,1.4916666666666667e-05,1.8472222222222213e-05,0.002500000000000002,17.805555555555554,3.805555555555556
2018,2,서울,0.004,0.02666666666666667,0.03333333333333333,0.43333333333333335,43.666666666666664,24.333333333333332,0.0,9.555555555555551e-06,2.8888888888888945e-06,0.0022222222222222214,38.88888888888889,1.5555555555555556
2018,2,경기,0.0035376344086021513,0.019838709677419353,0.03681720430107526,0.39677419354838694,46.24731182795699,24.365591397849464,9.58261070644005e-07,5.419979188345475e-05,2.746120938836859e-05,0.00590357266736039,92.44421320383856,14.984622499710948
2018,2,강원,0.002,0.012666666666666666,0.04416666666666667,0.35,42.888888888888886,22.944444444444443,3.333333333333333e-07,8.555555555555556e-06,8.80555555555556e-06,0.004722222222222223,73.98765432098764,17.608024691358022
2018,2,충북,0.0030000000000000005,0.014708333333333332,0.03858333333333334,0.375,44.208333333333336,25.375,7.5e-07,1.8873263888888894e-05,1.5493055555555547e-05,0.009375,72.83159722222223,9.651041666666666
